Country,Year,Mission Name,Mission Type,Launch Site,Satellite Type,Budget (in Billion $),Success Rate (%),Technology Used,Environmental Impact,Collaborating Countries,Duration (in Days)
Japan,2024,Fully-configurable analyzing database,Unmanned,Ericton,Research,0.69,98,Traditional Rocket,Low,UK,50
UK,2023,Seamless local utilization,Unmanned,Port Michaelview,Communication,0.49,92,Reusable Rocket,Medium,,94
UK,2023,Reactive dynamic moderator,Unmanned,Wardside,Weather,0.39,91,Solar Propulsion,Low,India,136
Germany,2024,Diverse exuding matrices,Unmanned,Jessicashire,Weather,0.29,100,Reusable Rocket,Medium,,157
USA,2023,Focused needs-based open architecture,Unmanned,Veronicamouth,Navigation,11.1,93,Traditional Rocket,High,"Japan, India",4
India,2014,Fundamental intermediate standardization,Unmanned,New Judith,Weather,1.87,94,Traditional Rocket,Medium,USA,126
China,2015,Visionary next generation firmware,Unmanned,West Leetown,Navigation,0.49,100,Solar Propulsion,High,"Russia, China",142
India,2024,Versatile regional application,Unmanned,Kiaraton,Communication,0.51,95,Reusable Rocket,Medium,"China, Japan, Germany",90
Russia,2024,Synergized radical orchestration,Unmanned,Armstrongview,Navigation,0.23,100,Reusable Rocket,Medium,Russia,340
UK,2022,Exclusive 24hour Local Area Network,Unmanned,Lake Michaelmouth,Weather,0.79,94,Reusable Rocket,Low,China,105
India,2023,Assimilated leadingedge adapter,Unmanned,Erinhaven,Navigation,0.46,97,Traditional Rocket,Medium,UK,236
Germany,2013,Public-key systematic access,Unmanned,Pittmanmouth,Navigation,1.0,92,Traditional Rocket,Medium,"France, Japan",293
USA,2019,Inverse contextually-based capability,Unmanned,Aprilview,Research,6.16,91,Traditional Rocket,High,Russia,176
USA,2023,Innovative intangible interface,Unmanned,Lake Alexander,Weather,5.01,98,Reusable Rocket,High,"Germany, France",194
India,2000,Automated mission-critical Graphical User Interface,Unmanned,New Leslie,Weather,0.33,96,Traditional Rocket,High,Germany,126
USA,2012,Balanced motivating algorithm,Unmanned,Leonview,Spy,3.05,93,Traditional Rocket,Low,"India, USA, Russia",284
USA,2001,Multi-tiered global attitude,Unmanned,Lake Dalton,Research,37.51,90,Traditional Rocket,High,"UK, Japan",153
USA,2022,Open-architected leadingedge structure,Unmanned,West Jose,Communication,17.92,98,Reusable Rocket,Medium,"China, France",180
France,2024,Diverse context-sensitive strategy,Unmanned,West Laurashire,Spy,1.27,98,Traditional Rocket,High,USA,355
China,2024,Reduced modular focus group,Unmanned,Robbinshaven,Weather,3.39,99,Traditional Rocket,High,"Japan, China",70
Germany,2007,Re-engineered impactful application,Unmanned,Websterhaven,Communication,10.84,98,Traditional Rocket,Low,Japan,321
Russia,2022,Synergistic reciprocal methodology,Unmanned,South Logan,Communication,0.14,97,Traditional Rocket,Low,"Russia, France",254
USA,2021,Expanded multimedia initiative,Unmanned,West Virginia,Weather,15.63,91,Traditional Rocket,High,Russia,220
China,2023,Automated 3rdgeneration encoding,Unmanned,North Mackenzie,Spy,1.41,92,Reusable Rocket,Low,India,259
Germany,2024,Stand-alone context-sensitive algorithm,Unmanned,New Dannyberg,Communication,0.08,97,Reusable Rocket,Low,"China, Germany",94
France,2016,Pre-emptive exuding interface,Unmanned,Kendramouth,Weather,2.55,92,Traditional Rocket,Medium,France,65
China,2006,Monitored national system engine,Unmanned,Rachelbury,Communication,1.02,91,Traditional Rocket,Low,"China, Germany",350
Germany,2024,Mandatory global structure,Unmanned,Davidfurt,Weather,0.26,95,Traditional Rocket,High,France,34
USA,2023,Reduced 5thgeneration paradigm,Unmanned,North Brittanyside,Research,10.35,95,Solar Propulsion,Medium,"India, Russia, China",217
USA,2022,Assimilated tangible monitoring,Unmanned,Morganbury,Spy,6.46,93,Traditional Rocket,Medium,UK,182
Russia,2024,Re-engineered bottom-line algorithm,Unmanned,Mooreville,Spy,0.88,93,Reusable Rocket,Medium,"Japan, Germany",257
China,2001,Robust background methodology,Unmanned,North Michelle,Navigation,0.81,91,Solar Propulsion,Medium,"Russia, UK, India",100
India,2023,Multi-layered static focus group,Unmanned,Marytown,Weather,0.69,96,Reusable Rocket,Medium,China,292
India,2018,Triple-buffered foreground middleware,Unmanned,Crystalstad,Navigation,1.73,98,Traditional Rocket,Very High,"USA, Russia",148
Japan,2014,User-centric dedicated data-warehouse,Unmanned,West Erin,Communication,2.71,95,Traditional Rocket,Medium,Japan,280
UK,2012,Assimilated 4thgeneration archive,Unmanned,Christinashire,Spy,1.8,99,Traditional Rocket,Medium,France,113
USA,2014,Inverse directional parallelism,Unmanned,West Michelle,Weather,19.77,97,AI Navigation,High,,173
India,2024,Exclusive 4thgeneration Graphical User Interface,Unmanned,Arianaport,Navigation,0.35,95,Traditional Rocket,Low,"Germany, India",120
Japan,2021,Mandatory user-facing definition,Unmanned,New Rachel,Research,1.94,100,Reusable Rocket,Low,"Japan, UK",172
Russia,2024,Managed exuding benchmark,Unmanned,Port Tiffany,Spy,0.58,89,Traditional Rocket,Medium,"France, Russia",128
Russia,2020,Pre-emptive user-facing support,Unmanned,West Madelinechester,Navigation,1.69,92,Traditional Rocket,High,USA,363
USA,2021,Optional motivating flexibility,Unmanned,New Brookeshire,Weather,3.67,98,Traditional Rocket,Medium,"Russia, France",139
Germany,2017,Centralized tertiary migration,Unmanned,New Robert,Weather,1.09,98,Traditional Rocket,Low,"USA, France",36
Germany,2022,Synergized clear-thinking encoding,Unmanned,Lake Kyle,Weather,0.84,97,Traditional Rocket,Low,"UK, Germany",139
Japan,2001,Proactive web-enabled conglomeration,Unmanned,Randychester,Navigation,0.23,98,Traditional Rocket,High,China,181
Russia,2024,Optional responsive moderator,Unmanned,Nelsonmouth,Spy,0.84,99,Traditional Rocket,High,"India, China",333
UK,2023,Proactive bi-directional complexity,Unmanned,South Adamview,Communication,0.71,91,Traditional Rocket,Low,"China, Germany, USA",101
USA,2009,Configurable coherent ability,Unmanned,Lake Juanfurt,Communication,25.09,95,Traditional Rocket,High,France,75
Russia,2024,Quality-focused non-volatile alliance,Unmanned,Bautistaland,Weather,0.17,94,Reusable Rocket,High,"Germany, China, UK",276
France,2018,Future-proofed systemic website,Unmanned,West Johnton,Research,0.36,91,Traditional Rocket,High,"Russia, China, USA",101
Germany,2023,Advanced executive leverage,Unmanned,Jenningsfort,Research,0.29,96,Reusable Rocket,Medium,"UK, France",304
China,2019,Vision-oriented optimizing policy,Unmanned,Richardberg,Navigation,6.94,95,Traditional Rocket,Medium,UK,132
UK,2022,Self-enabling cohesive synergy,Unmanned,Lowemouth,Weather,0.89,99,Reusable Rocket,Low,USA,135
China,2014,Seamless heuristic throughput,Unmanned,Port Amber,Communication,7.45,90,Traditional Rocket,High,"Germany, Russia",287
China,2024,Quality-focused holistic model,Unmanned,Lake Andrewstad,Spy,1.06,95,Reusable Rocket,Medium,,239
Japan,2021,Upgradable asymmetric customer loyalty,Unmanned,South Colin,Weather,1.68,95,Traditional Rocket,Medium,UK,137
Japan,2023,Future-proofed foreground middleware,Unmanned,New Renee,Weather,0.45,95,Traditional Rocket,Low,"USA, India",277
India,2014,Profound transitional Local Area Network,Unmanned,Steventown,Weather,2.5,93,Traditional Rocket,High,USA,305
China,2023,Reduced zero tolerance info-mediaries,Unmanned,South Melissa,Navigation,5.54,90,Traditional Rocket,High,"France, Russia, India",264
France,2002,Public-key needs-based attitude,Unmanned,New Jeremy,Spy,7.19,90,Traditional Rocket,Medium,"UK, China",7
France,2010,Multi-tiered didactic access,Unmanned,Karaton,Weather,2.47,99,Traditional Rocket,Low,"Germany, UK",231
India,2022,Synergistic 4thgeneration portal,Unmanned,New Michelle,Weather,1.15,92,Traditional Rocket,High,USA,114
France,2018,Networked high-level attitude,Unmanned,Lynchhaven,Research,1.6,95,Traditional Rocket,Low,,64
Japan,2004,Phased radical utilization,Unmanned,South Miguel,Spy,7.15,95,Traditional Rocket,Low,Russia,110
UK,2024,Vision-oriented web-enabled open architecture,Unmanned,East Lindsey,Communication,0.27,95,Traditional Rocket,Medium,USA,264
UK,2019,Fundamental tangible website,Unmanned,New Victor,Research,1.52,100,Traditional Rocket,Low,"Russia, UK",43
Japan,2021,Optional contextually-based monitoring,Unmanned,Sarahmouth,Research,0.68,99,Traditional Rocket,High,"UK, China",170
UK,2023,Multi-lateral tertiary matrices,Unmanned,Lake Timothy,Weather,0.28,89,AI Navigation,Medium,"China, UK",2
China,2000,Object-based disintermediate benchmark,Unmanned,Brandonton,Spy,0.09,100,Traditional Rocket,Medium,"France, Germany",139
France,2023,Streamlined mobile matrix,Unmanned,Choifort,Research,0.38,100,Traditional Rocket,High,,145
UK,2024,Sharable discrete Local Area Network,Unmanned,Moralesburgh,Communication,0.45,88,Traditional Rocket,Low,"Germany, France",50
India,2000,Enterprise-wide maximized paradigm,Unmanned,Mcphersonmouth,Spy,0.39,97,Traditional Rocket,Medium,France,174
France,2016,Robust web-enabled solution,Unmanned,East April,Research,1.07,94,Traditional Rocket,High,France,20
Germany,2020,Optimized zero administration benchmark,Unmanned,West Courtneyton,Weather,2.22,93,Traditional Rocket,Low,"Japan, China, France",295
Japan,2019,Stand-alone bottom-line monitoring,Unmanned,West Elizabethshire,Spy,0.6,98,Traditional Rocket,Low,"Russia, Germany",48
Russia,2015,Cross-platform dynamic middleware,Unmanned,West Marktown,Weather,6.32,92,Traditional Rocket,High,"UK, India",216
Russia,2017,Business-focused needs-based knowledgebase,Unmanned,Port Lindseyfort,Weather,2.04,97,Traditional Rocket,High,France,304
Russia,2008,Fully-configurable solution-oriented productivity,Unmanned,Lake Melissaborough,Spy,2.64,88,AI Navigation,High,"Japan, China, Germany",103
UK,2022,Reduced 24hour hardware,Unmanned,South Kennethhaven,Communication,1.51,89,Reusable Rocket,High,China,78
France,2008,User-centric asynchronous interface,Unmanned,Lambertbury,Research,3.3,94,Traditional Rocket,Low,China,330
Russia,2023,Reactive executive utilization,Unmanned,New Amy,Research,0.36,92,Reusable Rocket,High,Germany,7
India,2017,Integrated object-oriented throughput,Unmanned,Carlosstad,Weather,1.63,98,Traditional Rocket,Medium,"China, USA",84
Japan,2023,Intuitive exuding process improvement,Unmanned,Smithton,Weather,0.28,99,Reusable Rocket,Medium,"Japan, Russia",137
France,2019,Integrated mission-critical circuit,Unmanned,Mitchellberg,Spy,1.96,93,Traditional Rocket,Low,USA,276
China,2012,Reverse-engineered 24hour firmware,Unmanned,Richardland,Weather,5.28,92,Traditional Rocket,Medium,"China, UK",99
USA,2020,Devolved client-driven paradigm,Unmanned,Lawrenceside,Communication,11.28,96,Traditional Rocket,Medium,"UK, Japan",309
Germany,2020,Reduced grid-enabled forecast,Unmanned,Kimberlyside,Weather,2.11,96,Solar Propulsion,Low,"Japan, Germany",260
France,2022,Optimized homogeneous frame,Unmanned,Melissaview,Weather,1.31,92,Reusable Rocket,Low,Russia,90
Japan,2023,Grass-roots local methodology,Unmanned,Jamesmouth,Weather,1.12,97,Reusable Rocket,Medium,"China, France, Germany",220
UK,2024,Re-engineered fault-tolerant challenge,Unmanned,West Lorraineton,Communication,0.16,90,Traditional Rocket,High,UK,250
China,2024,Sharable client-server flexibility,Unmanned,Allisonshire,Navigation,4.66,90,Reusable Rocket,High,"Japan, France, India",20
India,2022,Polarized regional archive,Unmanned,North Devin,Communication,1.37,97,Reusable Rocket,Low,Germany,314
UK,2007,Right-sized actuating task-force,Unmanned,Gonzalesfort,Research,1.14,94,Traditional Rocket,Low,"China, Russia, Japan",42
France,2021,Total multimedia architecture,Unmanned,South Brandon,Spy,0.3,97,Traditional Rocket,High,"Germany, India, France",110
France,2008,Cross-group demand-driven instruction set,Unmanned,Port Scottbury,Weather,5.88,90,Traditional Rocket,Low,Russia,15
France,2015,Implemented fault-tolerant open system,Unmanned,Brooksland,Weather,4.28,92,Traditional Rocket,High,"France, USA, China",299
USA,2021,Decentralized modular model,Unmanned,New Deannatown,Navigation,16.73,96,Solar Propulsion,Medium,"USA, India",300
USA,2017,Synchronized zero administration policy,Unmanned,Lake Christina,Research,32.8,91,Solar Propulsion,Low,Germany,130
Russia,2022,Phased methodical moderator,Unmanned,Lopezside,Communication,0.51,98,Reusable Rocket,High,USA,109
Germany,2015,Grass-roots maximized definition,Unmanned,West Cory,Communication,4.65,92,Traditional Rocket,Low,"India, Germany",21
France,2016,Optional reciprocal artificial intelligence,Unmanned,New Julieville,Navigation,0.76,96,Traditional Rocket,High,,333
USA,2019,Open-architected uniform flexibility,Unmanned,Port Jennifer,Weather,0.31,97,Traditional Rocket,Medium,UK,112
France,2024,Total hybrid policy,Unmanned,Salinasbury,Spy,0.66,92,Solar Propulsion,Medium,,349
India,2021,Seamless analyzing policy,Unmanned,New Sandra,Communication,0.71,94,Traditional Rocket,Low,China,5
UK,2017,Profit-focused incremental website,Unmanned,New Brandonhaven,Weather,2.29,99,Traditional Rocket,Low,"Russia, Japan",321
Russia,2020,Secured reciprocal concept,Unmanned,North Christopher,Spy,0.37,93,Traditional Rocket,High,"Russia, Japan",152
USA,2022,Fully-configurable tertiary array,Manned,Cooperfort,Research,14.75,97,Traditional Rocket,Medium,UK,233
China,2020,Virtual interactive groupware,Unmanned,North Mariahside,Weather,8.99,100,Traditional Rocket,Medium,India,218
USA,2002,Multi-tiered bottom-line productivity,Unmanned,Michaelside,Spy,32.01,98,Traditional Rocket,High,"France, India, Japan",163
Russia,2006,Assimilated even-keeled protocol,Unmanned,Susanmouth,Navigation,0.5,97,Traditional Rocket,High,"China, France",306
India,2009,Ergonomic methodical algorithm,Unmanned,Gonzaleztown,Weather,0.92,89,Traditional Rocket,High,"Germany, USA",104
Russia,2020,Up-sized 4thgeneration extranet,Unmanned,South Leah,Communication,0.33,96,Traditional Rocket,High,"China, Japan",68
Germany,2013,Secured transitional alliance,Unmanned,Josephfort,Research,1.29,98,Traditional Rocket,Low,"Germany, India",15
China,2023,Seamless next generation success,Unmanned,Heatherfurt,Navigation,2.04,92,Traditional Rocket,High,,246
India,2004,Ameliorated maximized Local Area Network,Unmanned,Lake Rebecca,Communication,1.31,96,Traditional Rocket,High,France,214
UK,2018,Face-to-face even-keeled archive,Unmanned,Richardborough,Communication,1.19,88,Traditional Rocket,Low,"France, USA, UK",237
Japan,2024,Expanded actuating solution,Unmanned,East Janebury,Spy,0.2,99,Reusable Rocket,High,Russia,305
Japan,2024,Optional national throughput,Unmanned,North David,Research,0.68,100,Reusable Rocket,Low,France,248
France,2023,User-centric discrete info-mediaries,Unmanned,Amandashire,Weather,0.82,94,Traditional Rocket,High,Germany,327
France,2023,Streamlined explicit Graphical User Interface,Unmanned,Port Bonnieport,Weather,0.45,99,Reusable Rocket,High,"Japan, USA",51
USA,2004,Enterprise-wide object-oriented policy,Unmanned,Port Zacharyton,Communication,34.91,94,Traditional Rocket,Low,India,307
China,2022,Networked leadingedge utilization,Manned,North Sarahfurt,Navigation,9.04,90,AI Navigation,Low,Russia,57
Germany,2022,Secured non-volatile policy,Unmanned,East Xavierborough,Research,0.59,91,Traditional Rocket,Medium,Russia,63
Germany,2013,Innovative uniform complexity,Unmanned,Port Jenna,Communication,4.12,91,Traditional Rocket,Low,"India, USA",365
China,2000,Enterprise-wide 24hour data-warehouse,Unmanned,South Nancy,Research,1.03,92,Traditional Rocket,High,UK,252
UK,2021,Vision-oriented scalable flexibility,Unmanned,Mirandaberg,Communication,0.49,93,Reusable Rocket,Low,"Japan, Russia",153
Germany,2021,Cross-platform neutral implementation,Unmanned,Natalieborough,Spy,0.25,91,Reusable Rocket,Medium,China,93
Japan,2024,Integrated content-based flexibility,Unmanned,Murrayfort,Communication,0.53,93,Reusable Rocket,Low,India,216
Germany,2005,Progressive web-enabled hierarchy,Unmanned,Perezstad,Weather,1.08,100,Traditional Rocket,High,UK,62
Russia,2001,Fundamental intermediate algorithm,Unmanned,West James,Navigation,0.84,89,Traditional Rocket,High,,40
Japan,2015,Advanced explicit archive,Unmanned,Reynoldsmouth,Weather,2.76,98,Traditional Rocket,Low,"India, Russia, China",107
Russia,2020,Versatile empowering initiative,Unmanned,South Ryan,Communication,0.5,97,Traditional Rocket,High,"UK, France, China",343
Germany,2022,Cross-group directional neural-net,Unmanned,Thompsonton,Communication,0.87,92,Reusable Rocket,Low,India,144
Russia,2024,Balanced optimizing leverage,Unmanned,Deanchester,Communication,1.01,87,Traditional Rocket,High,UK,235
USA,2004,Triple-buffered explicit collaboration,Unmanned,West Jaclynfort,Weather,25.19,97,Traditional Rocket,High,"China, Russia",78
India,2024,Adaptive 24hour utilization,Unmanned,Hinesbury,Research,0.11,94,Traditional Rocket,Medium,"India, UK",177
China,2024,Reduced dedicated matrices,Unmanned,South Eric,Spy,6.26,91,Traditional Rocket,High,Japan,113
France,2020,Sharable 24/7 superstructure,Unmanned,West Jesus,Spy,0.44,99,AI Navigation,Medium,"UK, France",178
Japan,2020,Optimized actuating hierarchy,Unmanned,West Angela,Weather,0.9,94,Traditional Rocket,High,France,10
USA,2014,Team-oriented scalable task-force,Unmanned,Port Rebecca,Spy,28.08,93,Traditional Rocket,Low,,96
Japan,2022,Inverse mission-critical open system,Unmanned,Daviston,Weather,0.22,99,Reusable Rocket,High,Germany,179
Japan,2022,User-centric 6thgeneration challenge,Unmanned,Webbbury,Weather,1.21,93,Reusable Rocket,High,"Germany, UK",316
UK,2022,Implemented maximized capability,Unmanned,Mccartytown,Communication,0.39,95,Reusable Rocket,Medium,,311
Germany,2024,Future-proofed hybrid extranet,Unmanned,Port Hannahside,Spy,1.4,91,Reusable Rocket,Medium,China,36
USA,2017,Expanded explicit superstructure,Unmanned,New Brianmouth,Weather,3.01,91,AI Navigation,Low,Russia,6
India,2000,Ameliorated client-driven software,Unmanned,Paulaberg,Navigation,0.42,95,Traditional Rocket,Medium,"France, China",209
India,2021,Fully-configurable disintermediate adapter,Unmanned,New Cynthiaport,Research,1.61,91,Traditional Rocket,Medium,,166
Russia,2003,Reactive 3rdgeneration Local Area Network,Unmanned,Port Jennifer,Research,0.5,92,Traditional Rocket,High,"Russia, India, China",281
Japan,2020,Integrated multi-tasking definition,Unmanned,Parkborough,Weather,1.14,98,Traditional Rocket,High,"USA, France",203
France,2016,Multi-lateral composite budgetary management,Unmanned,Amandastad,Research,2.14,92,Traditional Rocket,High,"UK, Germany, China",221
France,2001,Up-sized system-worthy encryption,Unmanned,South Sierraport,Weather,1.4,90,Traditional Rocket,Medium,"China, Russia",291
USA,2022,Ameliorated heuristic projection,Unmanned,Port Justin,Communication,3.18,90,Traditional Rocket,High,India,353
France,2006,Ergonomic upward-trending approach,Unmanned,Ballmouth,Spy,2.64,97,Traditional Rocket,High,"Germany, Japan",209
India,2024,De-engineered attitude-oriented frame,Unmanned,Carterberg,Communication,0.1,97,Traditional Rocket,High,"Japan, USA, France",315
China,2009,Total heuristic hardware,Unmanned,South Jamesstad,Weather,1.85,91,Traditional Rocket,High,USA,73
Russia,2011,Down-sized background ability,Manned,Alexanderchester,Weather,5.06,88,Traditional Rocket,High,"France, Germany, USA",97
USA,2004,Compatible fresh-thinking data-warehouse,Unmanned,East Michaeltown,Research,25.23,91,Traditional Rocket,High,"Russia, USA, Germany",223
Russia,2012,Re-engineered impactful implementation,Unmanned,West Jennifer,Spy,7.37,96,Traditional Rocket,High,"USA, China",151
France,2008,Ameliorated dynamic support,Unmanned,Lammouth,Research,1.5,100,Traditional Rocket,Medium,"France, UK",205
China,2023,Implemented object-oriented policy,Unmanned,West Elizabeth,Navigation,7.25,93,Reusable Rocket,High,Russia,110
China,2021,Face-to-face needs-based migration,Unmanned,Lake Pamelabury,Navigation,10.87,95,Traditional Rocket,High,"Russia, Japan, China",133
